# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 14005023375
#
# Children|Self|Symbol|IPC   [IPC Coverage]
100.00%|0.22%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop12run__forever|-      -
100.00%|0.00%|[.] _M0FP211moonbitlang5async16run__async__main|-      -
100.00%|0.00%|[.] _M0FP411moonbitlang5async8internal11event__loop25with__event__loop_2einner|-      -
100.00%|0.00%|[.] __libc_start_main|-      -
100.00%|0.00%|[.] _start|-      -
100.00%|0.00%|[.] main|-      -
100.00%|0.00%|[.] 0x00007a182842a1c9|-      -
95.69%|1.18%|[.] _M0FP411moonbitlang5async8internal9coroutine10reschedule|-      -
51.81%|0.25%|[.] _M0FP411moonbitlang5async8internal9coroutine15pause__nocancelN4contS6930|-      -
51.31%|0.65%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle4readN16_2aasync__driverS2375C26593|-      -
46.14%|0.29%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle27read__via__event__bus__unixC26520|-      -
32.87%|0.29%|[.] _M0IP311moonbitlang5async9websocket7MessageP311moonbitlang5async2io6Reader14__direct__readN16_2aasync__driverS1600C32273|-      -
30.50%|0.39%|[.] _M0FP017____moonbit__mainN16_2aasync__driverS69|-      -
29.31%|0.14%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader10read__someGRP311moonbitlang5async9websocket7MessageEC28357|-      -
28.38%|0.07%|[.] _M0FP37hosi1217speakup10native__io13limited__bodyN16_2aasync__driverS31C31151|-      -
25.58%|0.22%|[.] _M0FP017____moonbit__mainN16_2aasync__driverS69C33237|-      -
25.33%|15.93%|[.] moonbit_drop_object|-      -
18.87%|0.04%|[.] _M0MP37hosi1217speakup17native__transport5Relay7receive|-      -
17.12%|0.68%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader13read__exactlyN16_2aasync__driverS566GRP311moonbitlang5async4http16ServerConnectionEC28216|-      -
15.11%|0.00%|[.] _M0FP37hosi1217speakup9signaling7receive|-      -
13.38%|0.29%|[.] _M0FP411moonbitlang5async8internal9coroutine5spawnN3runS6980|-      -
13.02%|0.11%|[.] _M0FP411moonbitlang5async8internal9coroutine7suspendC25836|-      -
12.88%|0.00%|[.] _M0FP37hosi1217speakup6shared21parse__client__signal|-      -
12.81%|0.36%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineN6workerS8293GuE|-      -
12.06%|0.11%|[.] _M0FP37hosi1217speakup6shared14decode__signal|-      -
11.73%|11.73%|[.] _mi_page_malloc_zero|-      -
10.87%|0.22%|[.] _M0FP211moonbitlang5async17with__task__groupGuEC27128l243|-      -
9.80%|0.22%|[.] _M0FPC14json13parse_2einner|-      -
9.47%|0.07%|[.] _M0MPC14json12ParseContext12parse__value|-      -
9.40%|0.39%|[.] _M0FP27Hosi12111ws__session21with__session_2einnerN16_2aasync__driverS134C32634l143|-      -
9.36%|0.22%|[.] _M0MPC14json12ParseContext13parse__value2|-      -
9.29%|0.18%|[.] _M0MPC14json12ParseContext13parse__object.part.0|-      -
9.15%|0.11%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader13read__exactlyGRP311moonbitlang5async4http16ServerConnectionE|-      -
9.01%|0.18%|[.] _M0MP311moonbitlang5async9websocket4Conn10send__text|-      -
8.75%|0.83%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader13read__exactlyN16_2aasync__driverS566GRP311moonbitlang5async4http16ServerConnectionE|-      -
8.40%|0.04%|[.] _M0IP311moonbitlang5async6socket3TcpP311moonbitlang5async2io6Reader66__direct__read_2edyncall__as___40moonbitlang_2fasync_2fio_2eReader|-      -
8.36%|0.32%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle4read|-      -
8.29%|0.29%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop7suspendC26146|-      -
7.89%|0.25%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle10wait__readC26381|-      -
7.75%|0.18%|[.] _M0MP311moonbitlang5async9websocket4Conn19recv__frame__headerN16_2aasync__driverS1065C31775|-      -
7.39%|0.54%|[.] _M0FP37hosi1217speakup10native__io13limited__bodyN16_2aasync__driverS31|-      -
7.36%|0.14%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle27read__via__event__bus__unixN16_2aasync__driverS2255C26503|-      -
7.18%|0.90%|[.] _M0MP311moonbitlang5async9websocket4Conn19recv__frame__headerN16_2aasync__driverS1065|-      -
7.18%|0.14%|[.] _M0MP311moonbitlang5async9websocket4Conn4recvN16_2aasync__driverS1469C32054|-      -
