# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 14005023375
#
# Overhead|Symbol|IPC   [IPC Coverage]
15.93%|[.] moonbit_drop_object|-      -
11.73%|[.] _mi_page_malloc_zero|-      -
5.38%|[.] mi_free|-      -
3.91%|[.] scan_regular_object|-      -
2.55%|[.] read|-      -
2.01%|[.] mi_malloc|-      -
1.87%|[.] _M0IPC16string6StringPB4Hash4hash|-      -
1.40%|[.] _M0FP311moonbitlang5async9websocket21mask__payload_2einner|-      -
1.36%|[.] _M0MP411moonbitlang5async8internal10io__buffer6Buffer11enlarge__to|-      -
1.26%|[.] _M0MPC15deque5Deque10push__backGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
1.22%|[.] _M0MPC14json12ParseContext11lex__string|-      -
1.18%|[.] _M0FP411moonbitlang5async8internal9coroutine10reschedule|-      -
1.11%|[.] _M0FP311moonbitlang5async9websocket12verify__utf8|-      -
1.00%|[.] simdutf::haswell::implementation::utf8_length_from_utf16le(char16_t const*, unsigned long) const|-      -
0.97%|[.] _M0IP311moonbitlang5async9websocket7MessageP311moonbitlang5async2io6Reader14__direct__readN16_2aasync__driverS1600|-      -
0.90%|[.] _M0MP311moonbitlang5async9websocket4Conn19recv__frame__headerN16_2aasync__driverS1065|-      -
0.86%|[.] _M0MPB3Map3getGiRP37hosi1217speakup9signaling4PeerE|-      -
0.86%|[.] epoll_wait|-      -
0.83%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader13read__exactlyN16_2aasync__driverS566GRP311moonbitlang5async4http16ServerConnectionE|-      -
0.83%|[.] _M0MPC13set3Set6removeGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.83%|[.] _M0MPC15deque5Deque10pop__frontGRP311moonbitlang5async6aqueue6ReaderGRP27Hosi12111ws__session7MessageEE|-      -
0.75%|[.] _M0FP27Hosi12111ws__session21with__session_2einnerN16_2aasync__driverS134|-      -
0.75%|[.] _M0IP311moonbitlang5async9websocket4ConnP311moonbitlang5async2io6Writer11write__once|-      -
0.72%|[.] _M0IP311moonbitlang5async6socket3TcpP311moonbitlang5async2io6Reader75__get__internal__buffer_2edyncall__as___40moonbitlang_2fasync_2fio_2eReader|-      -
0.72%|[.] _M0MPB3Map3getGiRP411moonbitlang5async8internal11event__loop8IoHandleE|-      -
0.72%|[.] _M0MPC13set3Set15add__with__hashGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.68%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader10read__someGRP311moonbitlang5async9websocket7MessageE|-      -
0.68%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader13read__exactlyN16_2aasync__driverS566GRP311moonbitlang5async4http16ServerConnectionEC28216|-      -
0.68%|[.] 0x0000000000098659|-      -
0.65%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle4readN16_2aasync__driverS2375C26593|-      -
0.65%|[.] 0x00000000000986e1|-      -
0.61%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Writer5writeGRP311moonbitlang5async4http16ServerConnectionE|-      -
0.61%|[.] _M0MPB3Map3getGiRP37hosi1217speakup17native__transport4PeerE|-      -
0.61%|[.] _M0MPC15deque5Deque10pop__frontGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.57%|[.] write|-      -
0.54%|[.] _M0FP017____moonbit__mainN16_2aasync__driverS69C33258|-      -
0.54%|[.] _M0FP37hosi1217speakup10native__io13limited__bodyN16_2aasync__driverS31|-      -
0.54%|[.] _M0MPC13set3Set11shift__backGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.54%|[.] _M0MPC15array10FixedArray18blit__from__string|-      -
0.54%|[.] simdutf::haswell::implementation::convert_utf16le_to_utf8_with_errors(char16_t const*, unsigned long, char*) const|-      -
0.47%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle5write|-      -
0.47%|[.] _M0MPB3Map3getGiRP37hosi1217speakup9signaling4RoomE|-      -
0.47%|[.] __vdso_gettimeofday|-      -
0.43%|[.] _M0FP27Hosi12111ws__session21with__session_2einnerN16_2aasync__driverS134C32694|-      -
0.43%|[.] _M0IP311moonbitlang5async9websocket4ConnP311moonbitlang5async2io6Writer11write__onceN16_2aasync__driverS1867|-      -
0.43%|[.] moonbit_make_bytes|-      -
0.39%|[.] _M0FP017____moonbit__mainN16_2aasync__driverS69|-      -
0.39%|[.] _M0FP27Hosi12111ws__session21with__session_2einnerN16_2aasync__driverS134C32634l143|-      -
0.39%|[.] _M0MP311moonbitlang5async9websocket4Conn19recv__frame__headerC31793|-      -
0.39%|[.] _M0MP311moonbitlang5async9websocket4Conn4recvN16_2aasync__driverS1469|-      -
0.36%|[.] _M0FP37hosi1217speakup9signaling13relay__parsed|-      -
0.36%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Writer5writeN16_2aasync__driverS431GRP311moonbitlang5async9websocket4ConnE|-      -
0.36%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineN6workerS8293GuE|-      -
0.36%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineN8_2adeferS8297GuE|-      -
0.36%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle4readN16_2aasync__driverS2375|-      -
0.36%|[.] _M0MPC14json12ParseContext10lex__value|-      -
0.36%|[.] _M0MPC15deque5Deque10push__backGRP311moonbitlang5async6aqueue6ReaderGRP27Hosi12111ws__session7MessageEE|-      -
0.36%|[.] _mi_page_retire|-      -
0.36%|[.] simdutf::haswell::implementation::convert_utf8_to_utf16le_with_errors(char const*, unsigned long, char16_t*) const|-      -
0.36%|[.] simdutf::haswell::implementation::utf16_length_from_utf8(char const*, unsigned long) const|-      -
0.32%|[.] _M0MP311moonbitlang5async6aqueue5Queue8try__putGRP27Hosi12111ws__session7MessageE|-      -
0.32%|[.] _M0MP411moonbitlang5async8internal11event__loop18UnixEventLoopExtra13handle__event|-      -
0.32%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle27read__via__event__bus__unixN16_2aasync__driverS2255|-      -
0.32%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle4read|-      -
